word,definition,difficulty_level,frequency_score,word_type,first_char,last_char,word_length
창랑가,창랑가의 뜻,2,30,명사,창,가,3
덕업산,덕업산의 뜻,2,30,명사,덕,산,3
주해,주해의 뜻,2,30,명사,주,해,2
다축,다축의 뜻,2,30,명사,다,축,2
창조신,창조신의 뜻,2,30,명사,창,신,3
에참,에참의 뜻,2,30,명사,에,참,2
주의역,주의역의 뜻,2,30,명사,주,역,3
종이뜨기,종이뜨기의 뜻,2,30,명사,종,기,4
주마이,주마이의 뜻,2,30,명사,주,이,3
증발접시,증발접시의 뜻,2,30,명사,증,시,4
주계열,주계열의 뜻,2,30,명사,주,열,3
준험하다,준험하다의 뜻,2,30,명사,준,다,4
동결계좌,동결계좌의 뜻,2,30,명사,동,좌,4
예술사진,예술사진의 뜻,2,30,명사,예,진,4
종이광대,종이광대의 뜻,2,30,명사,종,대,4
얼굴바대기,얼굴바대기의 뜻,2,30,명사,얼,기,5
들퀘다,들퀘다의 뜻,2,30,명사,들,다,3
딛다,딛다의 뜻,2,30,명사,딛,다,2
멀찌감치,멀찌감치의 뜻,2,30,명사,멀,치,4
첨예화하다,첨예화하다의 뜻,2,30,명사,첨,다,5
띠씨름하다,띠씨름하다의 뜻,2,30,명사,띠,다,5
때록,때록의 뜻,2,30,명사,때,록,2
려과지,려과지의 뜻,2,30,명사,려,지,3
레이디얼타이어,레이디얼타이어의 뜻,3,30,명사,레,어,7
떼전,떼전의 뜻,2,30,명사,떼,전,2
량반걸음,량반걸음의 뜻,2,30,명사,량,음,4
제비날치,제비날치의 뜻,2,30,명사,제,치,4
제도지,제도지의 뜻,2,30,명사,제,지,3
아뿔싸,아뿔싸의 뜻,2,30,명사,아,싸,3
로포텐제도,로포텐제도의 뜻,2,30,명사,로,도,5
천창만공,천창만공의 뜻,2,30,명사,천,공,4
질림조,질림조의 뜻,2,30,명사,질,조,3
안타까이,안타까이의 뜻,2,30,명사,안,이,4
음운도치,음운도치의 뜻,2,30,명사,음,치,4
짭조름,짭조름의 뜻,2,30,명사,짭,름,3
주은래,주은래의 뜻,2,30,명사,주,래,3
중봉,중봉의 뜻,2,30,명사,중,봉,2
즈르릉거리다,즈르릉거리다의 뜻,3,30,명사,즈,다,6
중갈이,중갈이의 뜻,2,30,명사,중,이,3
졸레,졸레의 뜻,2,30,명사,졸,레,2
추곡,추곡의 뜻,2,30,명사,추,곡,2
예영,예영의 뜻,2,30,명사,예,영,2
쌍곤로,쌍곤로의 뜻,2,30,명사,쌍,로,3
본템펠리,본템펠리의 뜻,2,30,명사,본,리,4
탁발규,탁발규의 뜻,2,30,명사,탁,규,3
보양청,보양청의 뜻,2,30,명사,보,청,3
불쏘다,불쏘다의 뜻,2,30,명사,불,다,3
촬촬,촬촬의 뜻,2,30,명사,촬,촬,2
엑스선관구,엑스선관구의 뜻,2,30,명사,엑,구,5
창금,창금의 뜻,2,30,명사,창,금,2
큰톱잎듬북,큰톱잎듬북의 뜻,2,30,명사,큰,북,5
주치의,주치의의 뜻,2,30,명사,주,의,3
참가적사채,참가적사채의 뜻,2,30,명사,참,채,5
참박,참박의 뜻,2,30,명사,참,박,2
붇힘,붇힘의 뜻,2,30,명사,붇,힘,2
통관되다,통관되다의 뜻,2,30,명사,통,다,4
연식지구의,연식지구의의 뜻,2,30,명사,연,의,5
완봉,완봉의 뜻,2,30,명사,완,봉,2
태육,태육의 뜻,2,30,명사,태,육,2
애삼,애삼의 뜻,2,30,명사,애,삼,2
유로파,유로파의 뜻,2,30,명사,유,파,3
울력걸음,울력걸음의 뜻,2,30,명사,울,음,4
역적모의하다,역적모의하다의 뜻,3,30,명사,역,다,6
국으로,국으로의 뜻,2,30,명사,국,로,3
계약설,계약설의 뜻,2,30,명사,계,설,3
남복,남복의 뜻,2,30,명사,남,복,2
영축,영축의 뜻,2,30,명사,영,축,2
군명암,군명암의 뜻,2,30,명사,군,암,3
옥이다,옥이다의 뜻,2,30,명사,옥,다,3
노란진펄이끼,노란진펄이끼의 뜻,3,30,명사,노,끼,6
흑죽방립,흑죽방립의 뜻,2,30,명사,흑,립,4
경락대가,경락대가의 뜻,2,30,명사,경,가,4
과망간산은,과망간산은의 뜻,2,30,명사,과,은,5
규류,규류의 뜻,2,30,명사,규,류,2
구멍새,구멍새의 뜻,2,30,명사,구,새,3
노야색,노야색의 뜻,2,30,명사,노,색,3
경연특진관,경연특진관의 뜻,2,30,명사,경,관,5
안산암선,안산암선의 뜻,2,30,명사,안,선,4
낚시꾼,낚시꾼의 뜻,2,30,명사,낚,꾼,3
기로과,기로과의 뜻,2,30,명사,기,과,3
산뜻이,산뜻이의 뜻,2,30,명사,산,이,3
아메바운동,아메바운동의 뜻,2,30,명사,아,동,5
사인기,사인기의 뜻,2,30,명사,사,기,3
사슬식인발기,사슬식인발기의 뜻,3,30,명사,사,기,6
삐그극거리다,삐그극거리다의 뜻,3,30,명사,삐,다,6
삠비기,삠비기의 뜻,2,30,명사,삠,기,3
비금서당,비금서당의 뜻,2,30,명사,비,당,4
갑족,갑족의 뜻,2,30,명사,갑,족,2
관찰되다,관찰되다의 뜻,2,30,명사,관,다,4
검은아프리카,검은아프리카의 뜻,3,30,명사,검,카,6
생장계,생장계의 뜻,2,30,명사,생,계,3
유동량,유동량의 뜻,2,30,명사,유,량,3
샤라부루,샤라부루의 뜻,2,30,명사,샤,루,4
사함,사함의 뜻,2,30,명사,사,함,2
삼삭대엽,삼삭대엽의 뜻,2,30,명사,삼,엽,4
선취음,선취음의 뜻,2,30,명사,선,음,3
산오구,산오구의 뜻,2,30,명사,산,구,3
달러방위,달러방위의 뜻,2,30,명사,달,위,4
사막토,사막토의 뜻,2,30,명사,사,토,3
살줄,살줄의 뜻,2,30,명사,살,줄,2
닻꽃,닻꽃의 뜻,2,30,명사,닻,꽃,2
산화분위기,산화분위기의 뜻,2,30,명사,산,기,5
세염색체증,세염색체증의 뜻,2,30,명사,세,증,5
깁즈기,깁즈기의 뜻,2,30,명사,깁,기,3
소공,소공의 뜻,2,30,명사,소,공,2
예작부,예작부의 뜻,2,30,명사,예,부,3
선저대,선저대의 뜻,2,30,명사,선,대,3
영등신,영등신의 뜻,2,30,명사,영,신,3
옥탄산,옥탄산의 뜻,2,30,명사,옥,산,3
쌍초선,쌍초선의 뜻,2,30,명사,쌍,선,3
휴식리,휴식리의 뜻,2,30,명사,휴,리,3
운거,운거의 뜻,2,30,명사,운,거,2
유빈궁,유빈궁의 뜻,2,30,명사,유,궁,3
움씰거리다,움씰거리다의 뜻,2,30,명사,움,다,5
오타루,오타루의 뜻,2,30,명사,오,루,3
강종개,강종개의 뜻,2,30,명사,강,개,3
활딱거리다,활딱거리다의 뜻,2,30,명사,활,다,5
애면글면하다,애면글면하다의 뜻,3,30,명사,애,다,6
계산되다,계산되다의 뜻,2,30,명사,계,다,4
옥볼,옥볼의 뜻,2,30,명사,옥,볼,2
구비오,구비오의 뜻,2,30,명사,구,오,3
금융시장,금융시장의 뜻,2,30,명사,금,장,4
액속,액속의 뜻,2,30,명사,액,속,2
닭조개,닭조개의 뜻,2,30,명사,닭,개,3
약계봉사,약계봉사의 뜻,2,30,명사,약,사,4
약용탄,약용탄의 뜻,2,30,명사,약,탄,3
안식국,안식국의 뜻,2,30,명사,안,국,3
궤도비행기,궤도비행기의 뜻,2,30,명사,궤,기,5
위이중직,위이중직의 뜻,2,30,명사,위,직,4
욕일,욕일의 뜻,2,30,명사,욕,일,2
영양식,영양식의 뜻,2,30,명사,영,식,3
요감,요감의 뜻,2,30,명사,요,감,2
열선마이크로폰,열선마이크로폰의 뜻,3,30,명사,열,폰,7
이잇돌,이잇돌의 뜻,2,30,명사,이,돌,3
이인삼각,이인삼각의 뜻,2,30,명사,이,각,4
음독자살,음독자살의 뜻,2,30,명사,음,살,4
으오리이까,으오리이까의 뜻,2,30,명사,으,까,5
임벽당김씨,임벽당김씨의 뜻,2,30,명사,임,씨,5
웃그림구이,웃그림구이의 뜻,2,30,명사,웃,이,5
용목,용목의 뜻,2,30,명사,용,목,2
웅담,웅담의 뜻,2,30,명사,웅,담,2
이경윤,이경윤의 뜻,2,30,명사,이,윤,3
일히다,일히다의 뜻,2,30,명사,일,다,3
일반감시,일반감시의 뜻,2,30,명사,일,시,4
인족,인족의 뜻,2,30,명사,인,족,2
이소스,이소스의 뜻,2,30,명사,이,스,3
유리칠보,유리칠보의 뜻,2,30,명사,유,보,4
유구르타전쟁,유구르타전쟁의 뜻,3,30,명사,유,쟁,6
덜시머,덜시머의 뜻,2,30,명사,덜,머,3
익수룡,익수룡의 뜻,2,30,명사,익,룡,3
알기다,알기다의 뜻,2,30,명사,알,다,3
은부하다,은부하다의 뜻,2,30,명사,은,다,4
인공우,인공우의 뜻,2,30,명사,인,우,3
어리광이,어리광이의 뜻,2,30,명사,어,이,4
흔무,흔무의 뜻,2,30,명사,흔,무,2
육조문화,육조문화의 뜻,2,30,명사,육,화,4
응법,응법의 뜻,2,30,명사,응,법,2
윤현,윤현의 뜻,2,30,명사,윤,현,2
이쪽,이쪽의 뜻,2,30,명사,이,쪽,2
과립,과립의 뜻,2,30,명사,과,립,2
야위죽,야위죽의 뜻,2,30,명사,야,죽,3
실혼처,실혼처의 뜻,2,30,명사,실,처,3
공통외접선,공통외접선의 뜻,2,30,명사,공,선,5
론총,론총의 뜻,2,30,명사,론,총,2
좌창,좌창의 뜻,2,30,명사,좌,창,2
주목과,주목과의 뜻,2,30,명사,주,과,3
장식괘,장식괘의 뜻,2,30,명사,장,괘,3
창고하다,창고하다의 뜻,2,30,명사,창,다,4
불망종,불망종의 뜻,2,30,명사,불,종,3
덕더글거리다,덕더글거리다의 뜻,3,30,명사,덕,다,6
답실답실,답실답실의 뜻,2,30,명사,답,실,4
망자상,망자상의 뜻,2,30,명사,망,상,3
조상제,조상제의 뜻,2,30,명사,조,제,3
지사귀,지사귀의 뜻,2,30,명사,지,귀,3
마담뚜,마담뚜의 뜻,2,30,명사,마,뚜,3
안정조작,안정조작의 뜻,2,30,명사,안,작,4
대만원,대만원의 뜻,2,30,명사,대,원,3
냉면,냉면의 뜻,2,30,명사,냉,면,2
라치오주,라치오주의 뜻,2,30,명사,라,주,4
먼댕이,먼댕이의 뜻,2,30,명사,먼,이,3
배수량,배수량의 뜻,2,30,명사,배,량,3
단기자유형,단기자유형의 뜻,2,30,명사,단,형,5
마감구,마감구의 뜻,2,30,명사,마,구,3
라전칠공예,라전칠공예의 뜻,2,30,명사,라,예,5
기념박물관,기념박물관의 뜻,2,30,명사,기,관,5
멀티큐브,멀티큐브의 뜻,2,30,명사,멀,브,4
로러지수,로러지수의 뜻,2,30,명사,로,수,4
망건집,망건집의 뜻,2,30,명사,망,집,3
못뽑이집게벌레,못뽑이집게벌레의 뜻,3,30,명사,못,레,7
도디미,도디미의 뜻,2,30,명사,도,미,3
덴버,덴버의 뜻,2,30,명사,덴,버,2
발트함대,발트함대의 뜻,2,30,명사,발,대,4
배합형,배합형의 뜻,2,30,명사,배,형,3
번한지표,번한지표의 뜻,2,30,명사,번,표,4
기밀복,기밀복의 뜻,2,30,명사,기,복,3
무조건,무조건의 뜻,2,30,명사,무,건,3
배일사상,배일사상의 뜻,2,30,명사,배,상,4
란창강,란창강의 뜻,2,30,명사,란,강,3
발산작용,발산작용의 뜻,2,30,명사,발,용,4
배타적,배타적의 뜻,2,30,명사,배,적,3
날강도,날강도의 뜻,2,30,명사,날,도,3
치오푼각,치오푼각의 뜻,2,30,명사,치,각,4
케루비니,케루비니의 뜻,2,30,명사,케,니,4
치독,치독의 뜻,2,30,명사,치,독,2
민날개좀파리,민날개좀파리의 뜻,3,30,명사,민,리,6
천모,천모의 뜻,2,30,명사,천,모,2
컴퓨터음악,컴퓨터음악의 뜻,2,30,명사,컴,악,5
타라와섬,타라와섬의 뜻,2,30,명사,타,섬,4
짝갈이,짝갈이의 뜻,2,30,명사,짝,이,3
친아우,친아우의 뜻,2,30,명사,친,우,3
무고장선화증권,무고장선화증권의 뜻,3,30,명사,무,권,7
푸새,푸새의 뜻,2,30,명사,푸,새,2
뜰썩,뜰썩의 뜻,2,30,명사,뜰,썩,2
탑상화산,탑상화산의 뜻,2,30,명사,탑,산,4
표상설,표상설의 뜻,2,30,명사,표,설,3
팔선인,팔선인의 뜻,2,30,명사,팔,인,3
휘황찬란하다,휘황찬란하다의 뜻,3,30,명사,휘,다,6
씽씽하다,씽씽하다의 뜻,2,30,명사,씽,다,4
흑풍,흑풍의 뜻,2,30,명사,흑,풍,2
멜리야,멜리야의 뜻,2,30,명사,멜,야,3
조불려석하다,조불려석하다의 뜻,3,30,명사,조,다,6
범이슬람주의,범이슬람주의의 뜻,3,30,명사,범,의,6
아열대고압대,아열대고압대의 뜻,3,30,명사,아,대,6
종자뼈,종자뼈의 뜻,2,30,명사,종,뼈,3
주창,주창의 뜻,2,30,명사,주,창,2
엉덩이걸음,엉덩이걸음의 뜻,2,30,명사,엉,음,5
짤깍짤깍하다,짤깍짤깍하다의 뜻,3,30,명사,짤,다,6
적빈여세하다,적빈여세하다의 뜻,3,30,명사,적,다,6
잔메질하다,잔메질하다의 뜻,2,30,명사,잔,다,5
점찬술,점찬술의 뜻,2,30,명사,점,술,3
장황,장황의 뜻,2,30,명사,장,황,2
적연히,적연히의 뜻,2,30,명사,적,히,3
제어용로켓,제어용로켓의 뜻,2,30,명사,제,켓,5
자현하다,자현하다의 뜻,2,30,명사,자,다,4
조회장,조회장의 뜻,2,30,명사,조,장,3
정내,정내의 뜻,2,30,명사,정,내,2
임관하다,임관하다의 뜻,2,30,명사,임,다,4
재적,재적의 뜻,2,30,명사,재,적,2
전등신화,전등신화의 뜻,2,30,명사,전,화,4
조감경,조감경의 뜻,2,30,명사,조,경,3
전개판,전개판의 뜻,2,30,명사,전,판,3
정전선별,정전선별의 뜻,2,30,명사,정,별,4
저르르하다,저르르하다의 뜻,2,30,명사,저,다,5
장한가,장한가의 뜻,2,30,명사,장,가,3
장야면,장야면의 뜻,2,30,명사,장,면,3
잣불,잣불의 뜻,2,30,명사,잣,불,2
자유의인과성,자유의인과성의 뜻,3,30,명사,자,성,6
진압밀도,진압밀도의 뜻,2,30,명사,진,도,4
지질공학,지질공학의 뜻,2,30,명사,지,학,4
지짐질,지짐질의 뜻,2,30,명사,지,질,3
줄말,줄말의 뜻,2,30,명사,줄,말,2
조조히,조조히의 뜻,2,30,명사,조,히,3
중탄소강,중탄소강의 뜻,2,30,명사,중,강,4
쥐오줌풀,쥐오줌풀의 뜻,2,30,명사,쥐,풀,4
준양,준양의 뜻,2,30,명사,준,양,2
산호세선언,산호세선언의 뜻,2,30,명사,산,언,5
살라트,살라트의 뜻,2,30,명사,살,트,3
사사프라스,사사프라스의 뜻,2,30,명사,사,스,5
버티다,버티다의 뜻,2,30,명사,버,다,3
삼천군,삼천군의 뜻,2,30,명사,삼,군,3
제삼혁명,제삼혁명의 뜻,2,30,명사,제,명,4
제차,제차의 뜻,2,30,명사,제,차,2
천군전,천군전의 뜻,2,30,명사,천,전,3
찰카당거리다,찰카당거리다의 뜻,3,30,명사,찰,다,6
축의,축의의 뜻,2,30,명사,축,의,2
취모십일,취모십일의 뜻,2,30,명사,취,일,4
측량선,측량선의 뜻,2,30,명사,측,선,3
중정석,중정석의 뜻,2,30,명사,중,석,3
지전류,지전류의 뜻,2,30,명사,지,류,3
리사주그림,리사주그림의 뜻,2,30,명사,리,림,5
좌보간,좌보간의 뜻,2,30,명사,좌,간,3
이수산화주석,이수산화주석의 뜻,3,30,명사,이,석,6
찔쑥찔쑥하다,찔쑥찔쑥하다의 뜻,3,30,명사,찔,다,6
미녹시딜,미녹시딜의 뜻,2,30,명사,미,딜,4
문정맥,문정맥의 뜻,2,30,명사,문,맥,3
줄엮음,줄엮음의 뜻,2,30,명사,줄,음,3
최고기온,최고기온의 뜻,2,30,명사,최,온,4
도랭이피,도랭이피의 뜻,2,30,명사,도,피,4
도셔다,도셔다의 뜻,2,30,명사,도,다,3
반복과정,반복과정의 뜻,2,30,명사,반,정,4
감정철학,감정철학의 뜻,2,30,명사,감,학,4
칼립소,칼립소의 뜻,2,30,명사,칼,소,3
채석권,채석권의 뜻,2,30,명사,채,권,3
가랑니,가랑니의 뜻,2,30,명사,가,니,3
코토누,코토누의 뜻,2,30,명사,코,누,3
투지하다,투지하다의 뜻,2,30,명사,투,다,4
뚫음새김법,뚫음새김법의 뜻,2,30,명사,뚫,법,5
참모,참모의 뜻,2,30,명사,참,모,2
담장농말,담장농말의 뜻,2,30,명사,담,말,4
총비용,총비용의 뜻,2,30,명사,총,용,3
발색단,발색단의 뜻,2,30,명사,발,단,3
망구순,망구순의 뜻,2,30,명사,망,순,3
반얼혼,반얼혼의 뜻,2,30,명사,반,혼,3
할러,할러의 뜻,2,30,명사,할,러,2
체쟁이,체쟁이의 뜻,2,30,명사,체,이,3
찬집,찬집의 뜻,2,30,명사,찬,집,2
대포자낭,대포자낭의 뜻,2,30,명사,대,낭,4
헛아지,헛아지의 뜻,2,30,명사,헛,지,3
검사등,검사등의 뜻,2,30,명사,검,등,3
진휼,진휼의 뜻,2,30,명사,진,휼,2
두세,두세의 뜻,2,30,명사,두,세,2
취의,취의의 뜻,2,30,명사,취,의,2
코튼지,코튼지의 뜻,2,30,명사,코,지,3
차막이,차막이의 뜻,2,30,명사,차,이,3
철정광,철정광의 뜻,2,30,명사,철,광,3
메리엄,메리엄의 뜻,2,30,명사,메,엄,3
내향형,내향형의 뜻,2,30,명사,내,형,3
콜로이드적정,콜로이드적정의 뜻,3,30,명사,콜,정,6
추령,추령의 뜻,2,30,명사,추,령,2
촉산,촉산의 뜻,2,30,명사,촉,산,2
집내기하다,집내기하다의 뜻,2,30,명사,집,다,5
참정절철,참정절철의 뜻,2,30,명사,참,철,4
쫄맹이,쫄맹이의 뜻,2,30,명사,쫄,이,3
충돌설,충돌설의 뜻,2,30,명사,충,설,3
청몽석,청몽석의 뜻,2,30,명사,청,석,3
탈가닥탈가닥,탈가닥탈가닥의 뜻,3,30,명사,탈,닥,6
질료인,질료인의 뜻,2,30,명사,질,인,3
단구애,단구애의 뜻,2,30,명사,단,애,3
대납회,대납회의 뜻,2,30,명사,대,회,3
돌팡구,돌팡구의 뜻,2,30,명사,돌,구,3
단능,단능의 뜻,2,30,명사,단,능,2
당봉,당봉의 뜻,2,30,명사,당,봉,2
대파하다,대파하다의 뜻,2,30,명사,대,다,4
늙수그레하다,늙수그레하다의 뜻,3,30,명사,늙,다,6
헤드드럼,헤드드럼의 뜻,2,30,명사,헤,럼,4
대롱꽃,대롱꽃의 뜻,2,30,명사,대,꽃,3
리괘,리괘의 뜻,2,30,명사,리,괘,2
망얽이,망얽이의 뜻,2,30,명사,망,이,3
치료유산,치료유산의 뜻,2,30,명사,치,산,4
캐러더스,캐러더스의 뜻,2,30,명사,캐,스,4
활동되다,활동되다의 뜻,2,30,명사,활,다,4
총상화서,총상화서의 뜻,2,30,명사,총,서,4
칼리포스법,칼리포스법의 뜻,2,30,명사,칼,법,5
콩가,콩가의 뜻,2,30,명사,콩,가,2
혁명권,혁명권의 뜻,2,30,명사,혁,권,3
계본,계본의 뜻,2,30,명사,계,본,2
텐트촌,텐트촌의 뜻,2,30,명사,텐,촌,3
지질로,지질로의 뜻,2,30,명사,지,로,3
채점,채점의 뜻,2,30,명사,채,점,2
범람만,범람만의 뜻,2,30,명사,범,만,3
학례강,학례강의 뜻,2,30,명사,학,강,3
지혜서,지혜서의 뜻,2,30,명사,지,서,3
병설하다,병설하다의 뜻,2,30,명사,병,다,4
화폐자본,화폐자본의 뜻,2,30,명사,화,본,4
허복,허복의 뜻,2,30,명사,허,복,2
효사,효사의 뜻,2,30,명사,효,사,2
휭하니,휭하니의 뜻,2,30,명사,휭,니,3
황보임,황보임의 뜻,2,30,명사,황,임,3
노이만코프의법칙,노이만코프의법칙의 뜻,3,30,명사,노,칙,8
생력화하다,생력화하다의 뜻,2,30,명사,생,다,5
꺽지,꺽지의 뜻,2,30,명사,꺽,지,2
과실상계,과실상계의 뜻,2,30,명사,과,계,4
고공무상무아,고공무상무아의 뜻,3,30,명사,고,아,6
누운향나무,누운향나무의 뜻,2,30,명사,누,무,5
독각련,독각련의 뜻,2,30,명사,독,련,3
무한대,무한대의 뜻,2,30,명사,무,대,3
탐려,탐려의 뜻,2,30,명사,탐,려,2
확정수입,확정수입의 뜻,2,30,명사,확,입,4
반보기,반보기의 뜻,2,30,명사,반,기,3
속요,속요의 뜻,2,30,명사,속,요,2
정박지,정박지의 뜻,2,30,명사,정,지,3
휴가객,휴가객의 뜻,2,30,명사,휴,객,3
혼성궤환,혼성궤환의 뜻,2,30,명사,혼,환,4
왕굴밤,왕굴밤의 뜻,2,30,명사,왕,밤,3
요면,요면의 뜻,2,30,명사,요,면,2
유다서,유다서의 뜻,2,30,명사,유,서,3
연달하다,연달하다의 뜻,2,30,명사,연,다,4
감정도착,감정도착의 뜻,2,30,명사,감,착,4
에넘느레하다,에넘느레하다의 뜻,3,30,명사,에,다,6
용두밀,용두밀의 뜻,2,30,명사,용,밀,3
여성운,여성운의 뜻,2,30,명사,여,운,3
역사광촬영,역사광촬영의 뜻,2,30,명사,역,영,5
문지기,문지기의 뜻,2,30,명사,문,기,3
오구잡탕,오구잡탕의 뜻,2,30,명사,오,탕,4
해가림모,해가림모의 뜻,2,30,명사,해,모,4
어메이산,어메이산의 뜻,2,30,명사,어,산,4
더구메,더구메의 뜻,2,30,명사,더,메,3
혈도,혈도의 뜻,2,30,명사,혈,도,2
모두미상,모두미상의 뜻,2,30,명사,모,상,4
매클루언,매클루언의 뜻,2,30,명사,매,언,4
현관부,현관부의 뜻,2,30,명사,현,부,3
돌상어,돌상어의 뜻,2,30,명사,돌,어,3
커터로더,커터로더의 뜻,2,30,명사,커,더,4
만무시리,만무시리의 뜻,2,30,명사,만,리,4
로진,로진의 뜻,2,30,명사,로,진,2
견조,견조의 뜻,2,30,명사,견,조,2
강고무비하다,강고무비하다의 뜻,3,30,명사,강,다,6
허름숭이,허름숭이의 뜻,2,30,명사,허,이,4
화성의숙,화성의숙의 뜻,2,30,명사,화,숙,4
허도녕,허도녕의 뜻,2,30,명사,허,녕,3
호끈호끈히,호끈호끈히의 뜻,2,30,명사,호,히,5
후삼강,후삼강의 뜻,2,30,명사,후,강,3
활투,활투의 뜻,2,30,명사,활,투,2
피나뭇과,피나뭇과의 뜻,2,30,명사,피,과,4
흥이야하다,흥이야하다의 뜻,2,30,명사,흥,다,5
혼성제,혼성제의 뜻,2,30,명사,혼,제,3
합산적,합산적의 뜻,2,30,명사,합,적,3
핵분할,핵분할의 뜻,2,30,명사,핵,할,3
홑매듭,홑매듭의 뜻,2,30,명사,홑,듭,3
후터분,후터분의 뜻,2,30,명사,후,분,3
광압,광압의 뜻,2,30,명사,광,압,2
고추씨,고추씨의 뜻,2,30,명사,고,씨,3
가랄히,가랄히의 뜻,2,30,명사,가,히,3
발사음,발사음의 뜻,2,30,명사,발,음,3
가서봉,가서봉의 뜻,2,30,명사,가,봉,3
깔기다,깔기다의 뜻,2,30,명사,깔,다,3
나뭇갓,나뭇갓의 뜻,2,30,명사,나,갓,3
네트터치,네트터치의 뜻,2,30,명사,네,치,4
고무유황,고무유황의 뜻,2,30,명사,고,황,4
광구세,광구세의 뜻,2,30,명사,광,세,3
건뜻건뜻,건뜻건뜻의 뜻,2,30,명사,건,뜻,4
고신식,고신식의 뜻,2,30,명사,고,식,3
군사형사회,군사형사회의 뜻,2,30,명사,군,회,5
동자개,동자개의 뜻,2,30,명사,동,개,3
흥록대부,흥록대부의 뜻,2,30,명사,흥,부,4
찰싹이다,찰싹이다의 뜻,2,30,명사,찰,다,4
창덕궁,창덕궁의 뜻,2,30,명사,창,궁,3
땅벌,땅벌의 뜻,2,30,명사,땅,벌,2
굴절도,굴절도의 뜻,2,30,명사,굴,도,3
칠무늬토기,칠무늬토기의 뜻,2,30,명사,칠,기,5
경낙,경낙의 뜻,2,30,명사,경,낙,2
큰밀잠자리,큰밀잠자리의 뜻,2,30,명사,큰,리,5
주전성,주전성의 뜻,2,30,명사,주,성,3
겸치,겸치의 뜻,2,30,명사,겸,치,2
동물교예,동물교예의 뜻,2,30,명사,동,예,4
감위심,감위심의 뜻,2,30,명사,감,심,3
검봉금,검봉금의 뜻,2,30,명사,검,금,3
묵은눈,묵은눈의 뜻,2,30,명사,묵,눈,3
모터쇼,모터쇼의 뜻,2,30,명사,모,쇼,3
련금사,련금사의 뜻,2,30,명사,련,사,3
박승무,박승무의 뜻,2,30,명사,박,무,3
기료품,기료품의 뜻,2,30,명사,기,품,3
십자해파리,십자해파리의 뜻,2,30,명사,십,리,5
늑병하다,늑병하다의 뜻,2,30,명사,늑,다,4
네끼다,네끼다의 뜻,2,30,명사,네,다,3
다부락거리다,다부락거리다의 뜻,3,30,명사,다,다,6
답세다,답세다의 뜻,2,30,명사,답,다,3
대룽,대룽의 뜻,2,30,명사,대,룽,2
돌자루,돌자루의 뜻,2,30,명사,돌,루,3
도기소,도기소의 뜻,2,30,명사,도,소,3
되룩되룩하다,되룩되룩하다의 뜻,3,30,명사,되,다,6
누운헤염,누운헤염의 뜻,2,30,명사,누,염,4
덕주사,덕주사의 뜻,2,30,명사,덕,사,3
도진사,도진사의 뜻,2,30,명사,도,사,3
독일고전철학,독일고전철학의 뜻,3,30,명사,독,학,6
도망질,도망질의 뜻,2,30,명사,도,질,3
돌잡놈,돌잡놈의 뜻,2,30,명사,돌,놈,3
담배귀,담배귀의 뜻,2,30,명사,담,귀,3
동방삭,동방삭의 뜻,2,30,명사,동,삭,3
